Rebalance Date,Vol Target Ann Ret,Vol Target Ann Vol,Vol Target Sharpe,Vol Target MaxDD,Sharpe Constrained Ann Ret,Sharpe Constrained Ann Vol,Sharpe Constrained Sharpe,Sharpe Constrained MaxDD
2021-06-30,0.0194,0.0446,0.0055,-0.03,0.0755,0.0988,0.5838,-0.0632
2021-09-30,0.1206,0.0509,1.868,-0.0224,0.2894,0.1146,2.1006,-0.0499
2021-12-31,-0.14,0.0835,-2.0039,-0.0891,-0.1311,0.1526,-0.9765,-0.1278
2022-03-31,-0.318,0.1256,-3.1408,-0.1463,-0.4553,0.2001,-3.0315,-0.2213
2022-06-30,-0.1517,0.1151,-1.5461,-0.1256,-0.2202,0.1457,-1.7718,-0.1633
2022-09-30,0.1001,0.1353,0.6235,-0.049,0.1076,0.1636,0.583,-0.0506
2022-12-31,0.2442,0.089,2.2745,-0.059,0.2027,0.1054,1.6142,-0.0679
2023-03-31,0.0869,0.0582,1.1183,-0.0277,-0.0729,0.0995,-0.9124,-0.0647
2023-06-30,-0.1088,0.0715,-1.8542,-0.0671,-0.0987,0.0743,-1.6306,-0.0677
2023-09-30,0.3934,0.0844,3.7361,-0.0205,0.3645,0.0973,3.0393,-0.0335
2023-12-31,0.1414,0.0639,1.79,-0.0191,0.3275,0.0883,3.0276,-0.0264
2024-03-31,0.0355,0.069,0.2502,-0.0346,0.0964,0.1164,0.6766,-0.0481
2024-06-30,0.2317,0.0691,2.762,-0.0298,0.2241,0.1329,1.4366,-0.0768
2024-09-30,-0.014,0.0665,-0.4792,-0.0345,0.1605,0.1091,1.2353,-0.0412
2024-12-31,0.0547,0.0604,0.5811,-0.0316,0.0267,0.1336,0.1138,-0.0924
2025-03-31,0.179,0.1129,1.3373,-0.0639,0.3487,0.1511,1.9224,-0.0714
2025-06-30,0.1665,0.0457,2.9543,-0.0115,0.297,0.0698,3.4773,-0.0245
2025-09-30,0.2133,0.0536,3.263,-0.0123,1.1226,0.1071,6.8996,-0.0217
